scenario_id,load_factor,pbo_db,affected_fraction,group,baseline_mask_paired,n_snapshots,n_users,realized_affected_fraction_mean,realized_affected_fraction_std,sinr_mean_db,sinr_p5_db,sinr_median_db,spectral_efficiency_mean_bpshz,spectral_efficiency_p5_bpshz,spectral_efficiency_median_bpshz,outage_probability
LF50_PBO05_F10,0.5,5.0,0.1,unaffected,False,1000,620140,0.10005817937746353,0.00040991608042987237,7.2853537212371835,3.0211604210636516,6.4938632684158435,2.1851745248282404,1.2698949453439117,1.9592324898186149,0.00030476989066984873
LF50_PBO10_F10,0.5,10.0,0.1,affected,False,1000,68949,0.10005817937746353,0.00040991608042987237,-2.667775495097469,-6.94330264704549,-3.462000649603638,0.5868833972524452,0.2124917451467913,0.4293270245633386,0.008818111937809105
LF50_PBO10_F10,0.5,10.0,0.1,all,False,1000,689089,0.10005817937746353,0.00040991608042987237,6.326784714521827,-3.807343863010712,6.015104390565895,2.0331885895989927,0.40159154067796504,1.85637425698825,0.0011565995103680366
LF50_PBO10_F10,0.5,10.0,0.1,unaffected,False,1000,620140,0.10005817937746353,0.00040991608042987237,7.326826530713399,3.0681885938336966,6.532278110948013,2.193993080048089,1.2782488520632154,1.9675785567878412,0.00030476989066984873
LF50_PBO15_F10,0.5,15.0,0.1,affected,False,1000,68949,0.10005817937746353,0.00040991608042987237,-7.653868046726225,-11.925337982277048,-8.450273042472247,0.20968798110020292,0.0,0.1541395619415778,0.32207863783376117
LF50_PBO15_F10,0.5,15.0,0.1,all,False,1000,689089,0.10005817937746353,0.00040991608042987237,5.840819296114683,-8.520320216615673,6.025534644248324,1.998220093063301,0.15182866917048063,1.8585917356653656,0.03250088159874849
LF50_PBO15_F10,0.5,15.0,0.1,unaffected,False,1000,620140,0.10005817937746353,0.00040991608042987237,7.34119856144435,3.084438779432703,6.545550249156406,2.1970743849776175,1.281142439300036,1.970465207740793,0.00030476989066984873
LF50_PBO20_F10,0.5,20.0,0.1,affected,False,1000,68949,0.10005817937746353,0.00040991608042987237,-12.649172813666544,-16.91988613123602,-13.445556384741836,0.05015293630955093,0.0,0.0,0.7370810309069022
LF50_PBO20_F10,0.5,20.0,0.1,all,False,1000,689089,0.10005817937746353,0.00040991608042987237,5.3453698512268515,-13.44743162018047,6.029995957480239,1.9832028307961498,0.0,1.859540538839651,0.07402527104626543
LF50_PBO20_F10,0.5,20.0,0.1,unaffected,False,1000,620140,0.10005817937746353,0.00040991608042987237,7.346056344924624,3.0897132136445142,6.550131703847185,2.198125037354275,1.2820823984558225,1.9714620323525445,0.00030476989066984873
LF50_PBO00_F00,0.5,0.0,0.15,affected,True,1000,103384,0.0,0.0,7.155473091631683,2.8755443178856273,6.365615433654149,2.1572641627903346,1.2442193000003747,1.9314674285179299,0.00031919832856147954
LF50_PBO00_F00,0.5,0.0,0.15,unaffected,True,1000,585705,0.0,0.0,7.169841513855367,2.880327538309646,6.385674915705749,2.160769703409294,1.2450580880171624,1.935800165850447,0.0003465908605868142
LF50_PBO05_F15,0.5,5.0,0.15,affected,False,1000,103384,0.15003077545956195,0.00042661288052130473,2.329065018789631,-1.917633652853991,1.5309080029286193,1.2357531027749844,0.5730926742395811,1.0212574529133052,0.002437514509014935
LF50_PBO05_F15,0.5,5.0,0.15,all,False,1000,689089,0.15003077545956195,0.00042661288052130473,6.592786766265342,-0.3116934321693548,6.04057553380882,2.0536424329401997,0.7593260376753697,1.8617913122949188,0.0005993420298393967
LF50_PBO05_F15,0.5,5.0,0.15,unaffected,False,1000,585705,0.15003077545956195,0.00042661288052130473,7.345385103552931,3.0868031396176834,6.550796756969319,2.1980097689025024,1.2815637464268916,1.9716067492480729,0.0002748824066723009
LF50_PBO10_F15,0.5,10.0,0.15,affected,False,1000,103384,0.15003077545956195,0.00042661288052130473,-2.6098305636166996,-6.848804937241489,-3.412198942674692,0.5918887121452113,0.21675307066627525,0.43345454899994684,0.008241120482860017
LF50_PBO10_F15,0.5,10.0,0.15,all,False,1000,689089,0.15003077545956195,0.00042661288052130473,5.904452963664109,-4.986026169783921,5.818596780726196,1.9682711775249155,0.31802062501622935,1.814797540061152,0.0014700568431653966
LF50_PBO10_F15,0.5,10.0,0.15,unaffected,False,1000,585705,0.15003077545956195,0.00042661288052130473,7.407326745148641,3.1568247134136955,6.607949777277483,2.211219290996398,1.294075140424434,1.9840583190112075,0.0002748824066723009
LF50_PBO15_F15,0.5,15.0,0.15,affected,False,1000,103384,0.15003077545956195,0.00042661288052130473,-7.588564358106432,-11.82544637967924,-8.390852281347733,0.2126856367236494,0.0,0.15612561588471158,0.3143232995434497
LF50_PBO15_F15,0.5,15.0,0.15,all,False,1000,689089,0.15003077545956195,0.00042661288052130473,5.175854171244512,-9.861766886120998,5.828784006563197,1.9153302709457563,0.11339119776827086,1.8169434715962,0.047391556097978633
LF50_PBO15_F15,0.5,15.0,0.15,unaffected,False,1000,585705,0.15003077545956195,0.00042661288052130473,7.42892806550599,3.18120652179941,6.627901445753366,2.2158675941108634,1.298447150379837,1.9884120006482453,0.0002748824066723009
LF50_PBO20_F15,0.5,20.0,0.15,affected,False,1000,103384,0.15003077545956195,0.00042661288052130473,-12.581331885872327,-16.818535861224394,-13.38451285202622,0.05109876716276196,0.0,0.0,0.7339433568056952
LF50_PBO20_F15,0.5,20.0,0.15,all,False,1000,689089,0.15003077545956195,0.00042661288052130473,4.433034964282374,-14.842595900622408,5.835497202196663,1.8924444485474339,0.0,1.818358171489888,0.11034713948415951
LF50_PBO20_F15,0.5,20.0,0.15,unaffected,False,1000,585705,0.15003077545956195,0.00042661288052130473,7.436276019824657,3.1898658685256662,6.634886149430443,2.217464180194377,1.300001816294363,1.989936987534346,0.0002748824066723009
